Orthogroup	SLEB.longest_only	DSUB.longest_only
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB, LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB, LOC117898485|XP_034663813.1|DSUB, LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC117893407|XP_034655897.1|DSUB, LOC117893701|XP_034656280.1|DSUB, LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC117897324|XP_034661985.1|DSUB
OG0000001	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC115634390|XP_030387939.1|SLEB	LOC117891710|XP_034653195.1|DSUB
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC117900215|XP_034666390.1|DSUB
OG0000002	LOC115626113|XP_030377229.1|SLEB	LOC117901078|XP_034667581.1|DSUB
OG0000002	LOC115624495|XP_030375058.1|SLEB	LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC115630131|XP_030382599.1|SLEB, LOC115630138|XP_030382606.1|SLEB, LOC115630291|XP_030382687.1|SLEB, LOC115630298|XP_030382696.1|SLEB, LOC115630315|XP_030382713.1|SLEB, LOC115630295|XP_030382692.1|SLEB, LOC115630320|XP_030382719.1|SLEB, LOC115633453|XP_030386768.1|SLEB, LOC115633454|XP_030386769.1|SLEB, LOC115630356|XP_030382750.1|SLEB, LOC115630307|XP_030382704.1|SLEB, LOC115630346|XP_030382739.1|SLEB, LOC115630288|XP_030382683.1|SLEB, LOC115630258|XP_030382653.1|SLEB, LOC115630317|XP_030382714.1|SLEB, LOC115630282|XP_030382678.1|SLEB, LOC115630355|XP_030382749.1|SLEB, LOC115630321|XP_030382720.1|SLEB, LOC115630285|XP_030382681.1|SLEB, LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB, LOC115630283|XP_030382679.1|SLEB, LOC115630365|XP_030382758.1|SLEB, LOC115630137|XP_030382605.1|SLEB, LOC115630358|XP_030382752.1|SLEB	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC117901441|XP_034668075.1|DSUB
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC117892376|XP_034654476.1|DSUB
OG0000010	LOC115625114|XP_030375880.1|SLEB	LOC117899454|XP_034665355.1|DSUB
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC117902318|XP_034669497.1|DSUB
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC117899529|XP_034665488.1|DSUB
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC117892105|XP_034654005.1|DSUB
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC117892719|XP_034655033.1|DSUB
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC117890423|XP_034651134.1|DSUB
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC117891086|XP_034652156.1|DSUB
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC117890435|XP_034651155.1|DSUB
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC115633162|XP_030386433.1|SLEB	LOC117895258|XP_034658670.1|DSUB
OG0000018	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB	LOC117895269|XP_034658684.1|DSUB
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC117899339|XP_034665171.1|DSUB
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC117899361|XP_034665230.1|DSUB
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC117898500|XP_034663833.1|DSUB
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC117898411|XP_034663671.1|DSUB
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC115634442|XP_030388011.1|SLEB	LOC117894607|XP_034657649.1|DSUB
OG0000021	LOC115627679|XP_030379282.1|SLEB, LOC115629561|XP_030381912.1|SLEB, LOC115622692|XP_030372578.1|SLEB	LOC117892599|XP_034654829.1|DSUB
OG0000021	LOC115632536|XP_030385602.1|SLEB	LOC117892038|XP_034653853.1|DSUB
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC117892039|XP_034653854.1|DSUB
OG0000021	LOC115624982|XP_030375700.1|SLEB	LOC117891478|XP_034652849.1|DSUB
OG0000021	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB	LOC117892040|XP_034653856.1|DSUB
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC115625208|XP_030376037.1|SLEB	LOC117896843|XP_034661258.1|DSUB
OG0000021	LOC115620616|XP_030369796.1|SLEB	LOC117898591|XP_034664027.1|DSUB
OG0000022	LOC115634544|XP_030388214.1|SLEB	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB
OG0000022	LOC115624802|XP_030375508.1|SLEB	LOC117892921|XP_034655127.1|DSUB, LOC117892919|XP_034655125.1|DSUB
OG0000022	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB	LOC117892923|XP_034655129.1|DSUB
OG0000023	LOC115623320|XP_030373442.1|SLEB	LOC117896148|XP_034660114.1|DSUB
OG0000023	LOC115623826|XP_030374229.1|SLEB	LOC117896153|XP_034660122.1|DSUB
OG0000023	LOC115623325|XP_030373446.1|SLEB	LOC117896150|XP_034660117.1|DSUB
OG0000023	LOC115623824|XP_030374228.1|SLEB	LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC115623321|XP_030373443.1|SLEB	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC115623326|XP_030373447.1|SLEB	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB
OG0000024	LOC115626230|XP_030377390.1|SLEB	LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB
OG0000024	LOC115633141|XP_030386412.1|SLEB	LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC115627188|XP_030378651.1|SLEB	LOC117889599|XP_034649905.1|DSUB
OG0000026	LOC115626629|XP_030377893.1|SLEB	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC115627162|XP_030378606.1|SLEB	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB
OG0000027	LOC115632057|XP_030384894.1|SLEB	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC115632056|XP_030384892.1|SLEB	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC115631416|XP_030384002.1|SLEB	LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC115634466|XP_030388054.1|SLEB	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB
OG0000028	LOC115634465|XP_030388053.1|SLEB	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB
OG0000029	LOC115634071|XP_030387478.1|SLEB	LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC115631185|XP_030383736.1|SLEB	LOC117901334|XP_034667933.1|DSUB
OG0000030	LOC115631186|XP_030383737.1|SLEB	LOC117901337|XP_034667938.1|DSUB, LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB
OG0000030	LOC115630766|XP_030383282.1|SLEB	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC115627904|XP_030379659.1|SLEB	LOC117903801|XP_034672130.1|DSUB
OG0000030	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB	LOC117903197|XP_034670973.1|DSUB
OG0000031	LOC115631052|XP_030383546.1|SLEB	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC115621800|XP_030371439.1|SLEB	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC115621799|XP_030371437.1|SLEB	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB
OG0000033	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB	LOC117891426|XP_034652788.1|DSUB
OG0000033	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB	LOC117891425|XP_034652787.1|DSUB
OG0000034	LOC115631238|XP_030383807.1|SLEB	LOC117902583|XP_034669972.1|DSUB
OG0000034	LOC115631233|XP_030383802.1|SLEB	LOC117902581|XP_034669969.1|DSUB
OG0000034	LOC115631016|XP_030383488.1|SLEB	LOC117902582|XP_034669970.1|DSUB
OG0000034	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC115623477|XP_030373705.1|SLEB	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC115621020|XP_030370399.1|SLEB	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC115620249|XP_030369258.1|SLEB	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC115621341|XP_030370821.1|SLEB	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC115626848|XP_030378208.1|SLEB	LOC117890311|XP_034650989.1|DSUB
OG0000037	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC115633983|XP_030387367.1|SLEB	LOC117894264|XP_034657109.1|DSUB
OG0000038	LOC115633961|XP_030387345.1|SLEB	LOC117893334|XP_034655815.1|DSUB
OG0000039	LOC115633921|XP_030387291.1|SLEB	LOC117897419|XP_034662142.1|DSUB
OG0000039	LOC115633267|XP_030386532.1|SLEB	LOC117903895|XP_034672289.1|DSUB
OG0000039	LOC115628050|XP_030379855.1|SLEB	LOC117903896|XP_034672290.1|DSUB
OG0000039	LOC115626562|XP_030377801.1|SLEB, LOC115626564|XP_030377802.1|SLEB, LOC115626635|XP_030377903.1|SLEB, LOC115633389|XP_030386692.1|SLEB	LOC117903894|XP_034672287.1|DSUB
OG0000039	LOC115633390|XP_030386693.1|SLEB	LOC117892341|XP_034654394.1|DSUB
OG0000040	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB	LOC117897706|XP_034662619.1|DSUB, LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB
OG0000040	LOC115624210|XP_030374678.1|SLEB	LOC117899278|XP_034665074.1|DSUB
OG0000040	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB	LOC117896008|XP_034659896.1|DSUB, LOC117899589|XP_034665598.1|DSUB
OG0000040	LOC115624206|XP_030374673.1|SLEB	LOC117896580|XP_034660876.1|DSUB
OG0000040	LOC115621426|XP_030370938.1|SLEB	LOC117899356|XP_034665219.1|DSUB
OG0000042	LOC115630085|XP_030382572.1|SLEB	LOC117903839|XP_034672183.1|DSUB
OG0000042	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB	LOC117891862|XP_034653515.1|DSUB, LOC117891861|XP_034653514.1|DSUB, LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB
OG0000043	LOC115623987|XP_030374418.1|SLEB	LOC117898000|XP_034663019.1|DSUB
OG0000043	LOC115623491|XP_030373724.1|SLEB	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB
OG0000043	LOC115623337|XP_030373467.1|SLEB	LOC117898866|XP_034664435.1|DSUB
OG0000043	LOC115623816|XP_030374219.1|SLEB	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB
OG0000043	LOC115623986|XP_030374417.1|SLEB	LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC115624024|XP_030374460.1|SLEB	LOC117898991|XP_034664623.1|DSUB
OG0000044	LOC115623538|XP_030373780.1|SLEB	LOC117895983|XP_034659856.1|DSUB
OG0000044	LOC115631500|XP_030384120.1|SLEB	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	LOC115624165|XP_030374623.1|SLEB	LOC117898153|XP_034663242.1|DSUB
OG0000045	LOC115632695|XP_030385792.1|SLEB	LOC117894865|XP_034658016.1|DSUB
OG0000045	LOC115632698|XP_030385795.1|SLEB	LOC117893502|XP_034656031.1|DSUB
OG0000045	LOC115632700|XP_030385796.1|SLEB	LOC117894637|XP_034657700.1|DSUB
OG0000045	LOC115632701|XP_030385797.1|SLEB	LOC117893875|XP_034656539.1|DSUB
OG0000046	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB	LOC117898099|XP_034663170.1|DSUB, LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB, LOC117892077|XP_034653957.1|DSUB, LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB
OG0000047	LOC115631261|XP_030383836.1|SLEB	LOC117891323|XP_034652630.1|DSUB
OG0000047	LOC115632503|XP_030385556.1|SLEB	LOC117891482|XP_034652852.1|DSUB
OG0000047	LOC115626702|XP_030377994.1|SLEB	LOC117892480|XP_034654625.1|DSUB
OG0000047	LOC115622391|XP_030372176.1|SLEB	LOC117891376|XP_034652704.1|DSUB, LOC117895380|XP_034658890.1|DSUB
OG0000048	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB
OG0000048	LOC115632620|XP_030385708.1|SLEB	LOC117894523|XP_034657528.1|DSUB
OG0000048	LOC115632159|XP_030385047.1|SLEB	LOC117894537|XP_034657548.1|DSUB
OG0000049	LOC115625514|XP_030376439.1|SLEB	LOC117898481|XP_034663808.1|DSUB
OG0000049	LOC115631187|XP_030383738.1|SLEB	LOC117898484|XP_034663812.1|DSUB
OG0000049	LOC115625469|XP_030376378.1|SLEB	LOC117898479|XP_034663805.1|DSUB
OG0000049	LOC115625232|XP_030376077.1|SLEB	LOC117899170|XP_034664920.1|DSUB
OG0000049	LOC115621014|XP_030370394.1|SLEB	LOC117898482|XP_034663809.1|DSUB
OG0000050	LOC115632844|XP_030385961.1|SLEB	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB
OG0000050	LOC115632845|XP_030385962.1|SLEB	LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB
OG0000050	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB	LOC117893220|XP_034655645.1|DSUB
OG0000051	LOC115624036|XP_030374474.1|SLEB	LOC117896438|XP_034660657.1|DSUB
OG0000051	LOC115620987|XP_030370367.1|SLEB	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB
