Orthogroup	DVIR.longest_only	DKIK.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC108082125|XP_017032915.1|DKIK, LOC108076145|XP_017024362.1|DKIK
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC108073963|XP_017021295.1|DKIK
OG0000006	LOC116649801|XP_032288823.1|DVIR, LOC116649804|XP_032288826.1|DVIR, LOC116649808|XP_032288834.1|DVIR, LOC6637025|XP_002060454.1|DVIR, LOC116649800|XP_032288822.1|DVIR, LOC6637072|XP_002060487.1|DVIR, LOC116649809|XP_032288836.1|DVIR, LOC116649803|XP_032288825.1|DVIR, LOC116649805|XP_032288827.1|DVIR, LOC6637262|XP_032288828.1|DVIR, LOC116649810|XP_032288837.1|DVIR, LOC6630106|XP_032288838.1|DVIR, LOC6637059|XP_002060475.1|DVIR	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC6630084|XP_002053094.1|DVIR	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC6630837|XP_002053113.1|DVIR	LOC108081051|XP_017031512.1|DKIK
OG0000010	LOC6636962|XP_002060409.1|DVIR	LOC108072854|XP_017019661.1|DKIK
OG0000010	LOC6637029|XP_002060450.1|DVIR	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC108073175|XP_017020170.1|DKIK
OG0000011	LOC26531915|XP_015024752.1|DVIR	LOC108074026|XP_017021384.1|DKIK
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC108073116|XP_017020100.1|DKIK, LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC108083626|XP_017034986.1|DKIK
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC108071573|XP_017017843.1|DKIK
OG0000018	LOC6623391|XP_002046158.1|DVIR	LOC108071585|XP_017017855.1|DKIK, LOC108071604|XP_017017875.1|DKIK
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC108072937|XP_017019783.1|DKIK
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC6625700|XP_015029837.1|DVIR	LOC108085116|XP_017037095.1|DKIK
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC108072267|XP_017018826.1|DKIK
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC6622042|XP_002046436.1|DVIR, LOC116650060|XP_032289303.1|DVIR	LOC108071491|XP_017017743.1|DKIK
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC6632668|XP_002056437.2|DVIR	LOC108084054|XP_017035562.1|DKIK
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC6626291|XP_002050067.1|DVIR	LOC108078099|XP_017027186.1|DKIK
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC108084052|XP_017035560.1|DKIK
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC6625431|XP_002049268.3|DVIR	LOC108078192|XP_017027349.1|DKIK
OG0000024	LOC6634081|XP_002057902.1|DVIR	LOC108072495|XP_017019150.1|DKIK
OG0000024	LOC6625429|XP_002049266.1|DVIR	LOC108078211|XP_017027385.1|DKIK
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC108086239|XP_017038600.1|DKIK
OG0000025	LOC6637233|XP_002060537.1|DVIR	LOC108081074|XP_017031548.1|DKIK
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC6635194|XP_002058469.1|DVIR	LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC108079588|XP_017029422.1|DKIK
OG0000029	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC108082121|XP_017032911.1|DKIK
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC6629980|XP_032294917.1|DVIR	LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK
