Orthogroup	DPER.longest_only	DBIA.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC6594749|XP_026851250.1|DPER	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC6592855|XP_026840797.1|DPER	LOC108033239|XP_016962994.1|DBIA
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC6595014|XP_026839995.1|DPER	LOC108022120|XP_016946450.1|DBIA
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC113564894|XP_026839940.1|DPER, LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER	LOC108035120|XP_016966040.1|DBIA
