Orthogroup	BCOP.longest_only	DNOV.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV, LOC115769480|XP_030570157.1|DNOV, LOC115758064|XP_030554438.1|DNOV, LOC115760506|XP_030557727.1|DNOV, LOC115769481|XP_030570158.1|DNOV, LOC115762880|XP_030561115.1|DNOV, LOC115762364|XP_030560398.1|DNOV, LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV, LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV, LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV, LOC115762365|XP_030560399.1|DNOV, LOC115762361|XP_030560396.1|DNOV
OG0000001	LOC119073001|XP_037034220.1|BCOP, LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC115763088|XP_030561386.1|DNOV
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV, LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000005	LOC119075113|XP_037037397.1|BCOP, LOC119082434|XP_037047858.1|BCOP, LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP, LOC119082423|XP_037047847.1|BCOP, LOC119077560|XP_037040666.1|BCOP, LOC119075403|XP_037037742.1|BCOP, LOC119082441|XP_037047863.1|BCOP, LOC119075506|XP_037037868.1|BCOP, LOC119075097|XP_037037381.1|BCOP, LOC119082499|XP_037047909.1|BCOP, LOC119070781|XP_037031155.1|BCOP	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC119082428|XP_037047851.1|BCOP	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC119077557|XP_037040663.1|BCOP	LOC115770605|XP_030571802.1|DNOV
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC115770611|XP_030571807.1|DNOV
OG0000006	LOC119078394|XP_037041792.1|BCOP	LOC115770816|XP_030572098.1|DNOV
