Orthogroup	DMEL.longest_only	DHYD.longest_only
OG0000000	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL	LOC111599673|XP_023171145.1|DHYD
OG0000000	CG33775|NP_001027410.1|DMEL	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL	LOC111600475|XP_023172354.2|DHYD
OG0000000	CG12849|NP_611969.2|DMEL	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL	LOC111593957|XP_023162816.2|DHYD
OG0000000	CG33927|NP_001027147.1|DMEL, CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL	LOC111603644|XP_023177090.2|DHYD
OG0000002	CG5550|NP_001246376.1|DMEL	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	CG30281|NP_726164.1|DMEL	LOC115483422|XP_030081192.1|DHYD
OG0000002	CG30280|NP_611641.6|DMEL	LOC111597015|XP_023167289.2|DHYD
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC115483813|XP_030082015.1|DHYD
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC111602383|XP_023175172.2|DHYD
